Tag,Count
"('name', 'Ang Mo Kio Avenue 3')",10
"('name:zh', '学院埔')",10
"('name', 'Tai Yuan Heights')",10
"('construction', 'footway')",10
"('sidewalk:left', 'yes')",10
"('name', 'Jelapang Road')",10
"('name:zh', '罗尼公园连道')",10
"('name', 'Lornie Park Connector')",10
"('building:levels', '1')",10
"('name', 'College Green')",10
"('name', 'Jalan Lempeng')",9
"('name', 'Jem Parking (Out)')",9
"('sidewalk:both:surface', 'paving_stones')",9
"('name', 'Regent Heights')",9
"('width', '0.5')",9
"('name', 'Bukit Batok West Avenue 3')",9
"('name:zh', '南洋径')",9
"('crossing:island', 'no')",9
"('name', 'Nanyang Walk')",9
"('name', 'Lower Seletar Reservoir Park')",9
"('turn:lanes', 'none|none|right')",9
"('source', 'Kaart Ground Survey 2017')",9
"('note', 'Yahoo aerial images. Parts of it are estimated ???')",9
"('parking', 'multi-storey')",9
"('note', 'Temporarily closed')",9
"('name', 'Jalan Langgar Bedok')",9
"('name:zh', '兀兰2道公园连道')",9
"('name', 'Woodlands (Ave 2) Park Connector')",9
"('turn:lanes:forward', 'through|right')",9
"('name', 'Jurong West Street 64')",9
"('ref', 'TP59')",9
"('name:zh', '实里达下段蓄水池公园')",9
"('mapillary', '987667651999810')",9
"('turn:lanes', 'left;through|right')",9
"('name', 'Choa Chu Kang Park Connector')",9
"('name:zh', '蔡厝港公园连道')",9
"('website', 'https://www.sgenable.sg/your-first-stop/hiring-employment/employers/employ#enabling-business-hubs--ebhs-')",9
"('turn:lanes', 'left;through|through|through|through')",9
"('name', 'Enabling Business Hub @ Jurong')",9
"('description', 'Developed by SG Enable, Enabling Business Hubs bring training and employment opportunities for persons with disabilities closer to their homes.')",9
"('addr:street', 'Yuan Ching Road')",9
"('addr:postcode', '619606')",9
"('addr:housenumber', '111A')",9
"('turn:lanes:forward', 'left;through|right')",9
"('name', 'Mandai Link')",9
"('image', 'https://images.mapillary.com/nY1l0hEEIXX_1Roxc6SF9A/thumb-2048.jpg')",9
"('name', 'Sembawang Hills Drive')",9
"('name', 'National Community Leadership Institute')",8
"('name:zh', '国家社区领袖学院')",8
"('name', 'Brickland Road')",8
"('name', 'Kent Ridge Park')",8
"('name', 'Outram Road')",8
"('name:zh', '欧南路')",8
"('name:en', 'Kent Ridge Park')",8
"('name', 'Changi Road')",8
"('name:zh', '肯特岗公园')",8
"('name', 'Gliders Boardwalk')",8
"('addr:housenumber', '70')",8
"('name', 'Jalan Greja')",8
"('wikidata', 'Q647955')",8
"('name', 'Jurong West Street 63')",8
"('wikimedia_commons', 'Category:Kent Ridge Park')",8
"('wikipedia', 'en:Kent Ridge Park')",8
"('name', 'Tuah Road')",8
"('name', 'Admiralty Road')",8
"('name', 'Jalan Limau Kasturi')",8
"('parking:lane:right', 'perpendicular')",8
"('name', 'Jurong East Street 24')",8
"('turn:lanes', 'left|through|through|through|through')",8
"('name:zh', '临谷坪')",8
"('name', 'Island Club Road')",8
"('name:zh', '贝雅士下段蓄水池公园')",8
"('name', 'Edgedale Plains')",8
"('name:zh', '红砖路')",8
"('note', 'open space - buildings demolished')",8
"('addr:street', 'South Buona Vista Road')",8
"('highway', 'proposed')",8
"('name', 'Ghim Moh Road')",8
"('name', 'Hougang Street 21')",8
"('name', 'Seletar Club Road')",8
"('landuse', 'construction')",8
"('name:zh', '海军部路')",8
"('elevator', 'no')",8
"('crossing:markings', 'dots')",8
"('name', 'Lower Peirce Reservoir Park')",8
"('name', 'Woodlands Avenue 2')",8
"('name', 'Dunearn Road')",8
"('name:zh', '坎贝拉路')",8
"('name:zh', '兀兰2道')",8
