Tag,Count
"('operator:wikidata', 'Q11081257')",3
"('name', 'Langur Trail')",3
"('name:zh', '叶猴小径')",3
"('symbol', 'black')",3
"('width', '2 m')",3
"('turn:lanes', 'through|right|right')",3
"('name', 'Siglap Plain')",3
"('turn:lanes', 'left|through|right|right')",3
"('maxheight', '7.5')",3
"('name', 'Siglap View')",3
"('name', 'Siglap Terrace')",3
"('highway', 'track')",3
"('destination', 'Loyang Avenue')",3
"('turn:lanes', 'left|right|right|right')",3
"('name:zh', '新樟宜路上段')",3
"('turn:lanes', 'left|through;right')",3
"('turn:lanes:backward', 'left;through;right')",3
"('operator:wikipedia', 'en:Singapore Police Force')",3
"('turn:lanes:backward', 'through|right')",3
"('name:zh', '1号停车场')",3
"('name', 'Kallang Riverside Park East')",3
"('start_date', '1990')",3
"('roof:colour', '#ff3333')",3
"('source', 'Bing;streetdirectory')",3
"('turn:lanes', 'left|through|through|right|right')",3
"('name:zh', '武吉知马路')",3
"('name', 'Old Terminal Lane')",3
"('name', 'Carpark 1')",3
"('traffic_calming', 'island')",3
"('name', 'Bukit Timah Road')",3
"('addr:street', 'Neil Road')",3
"('name', 'Ubi Avenue 1')",3
"('name:zh', '停车场D')",3
"('turn:lanes', 'none|through')",3
"('note', 'Temporarily closed due to construction')",3
"('name', 'Dickenson Hill Road')",3
"('name:zh', '停车场B')",3
"('name', 'Jurong West Street 71')",3
"('name', 'Jurong West Street 72')",3
"('turn:lanes', 'left|left|through')",3
"('name', 'Haji Lane')",3
"('name:zh', '蔡厝港路')",3
"('name', 'Choa Chu Kang Road')",3
"('name', 'Jurong West Street 75')",3
"('name', 'Bali Lane')",3
"('name', ""Carpark 'D'"")",3
"('name:zh', '加冷河滨公园东')",3
"('name:zh', '南洋连道')",3
"('name', 'National Community Leadership Institute')",3
"('traffic_signals:arrow', 'yes')",3
"('parking:lane:left', 'parallel')",3
"('name:zh', '裕廊东中路')",3
"('turn:lanes', 'none|none|through|right')",3
"('turn:lanes', 'left;through;right|right')",3
"('destination:street', 'Ubi Avenue 2;Paya Lebar Road')",3
"('name', 'Stadium Drive')",3
"('name', 'Blair Road')",3
"('name', 'Alexandra Park Connector')",3
"('name:zh', '国家社区领袖学院')",3
"('name', 'Upper Jurong Road')",3
"('name:zh', '裕廊路上段')",3
"('turn:lanes', 'left|through|through|through|through|right|right')",3
"('name', 'Nanyang Link')",3
"('source', 'survey')",3
"('source', 'Yahoo aerial images;GPS & Yahoo aerial images')",3
"('name:zh', '亚历山大公园连道')",3
"('addr:housenumber', '70')",3
"('width', '1.5')",3
"('destination:ref', 'BKE')",3
"('cycleway:left', 'no')",3
"('width', '5')",3
"('name', 'Cosford Road')",2
"('name', 'Tampines Street 94')",2
"('source', 'knowledge')",2
"('name', 'Loyang Lane')",2
"('name:zh', '淡滨尼94街')",2
"('name', 'Tampines Avenue 1')",2
"('shelter', 'yes')",2
"('name', 'Fusionopolis Walk')",2
"('name:zh', '罗央巷')",2
"('name', 'Selarang Park Road')",2
"('name:zh', '学院西道')",2
"('name', 'Toh Drive')",2
"('name', 'Folkestone Road')",2
"('name', 'Tampines Park Connector')",2
"('name:zh', '福斯顿路')",2
"('name', 'Phoenix Park')",2
"('name', 'Chatsworth Road')",2
"('name', 'Mariam Way')",2
"('name', 'B60')",2
"('name', 'Gordon Road')",2
"('name', 'Tanglin Hill')",2
"('note', 'colour on wikipedia seems to be #005ec4 though')",2
"('name:zh', '淡滨尼公园连道')",2
"('ref', 'DTL')",2
"('belisha_beacon', 'yes')",2
"('destination', 'Tampines Avenue 7')",2
"('crossing:markings', 'zebra')",2
